Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,1
design__inferred_latch__count,0
design__instance__count,5040
design__instance__area,60109.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,1
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.001248704269528389
power__switching__total,0.0003026147314812988
power__leakage__total,0.0000012869367083112593
power__total,0.001552606001496315
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2821657987127852
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.28260650175487406
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.12409640333248993
timing__setup__ws__corner:nom_fast_1p32V_m40C,4.900345157245887
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.124096
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,5.162709
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,1
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.28012551404715275
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.30492390031573635
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6424490010712542
timing__setup__ws__corner:nom_slow_1p08V_125C,2.0308031386893974
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.642449
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,2.030803
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,1
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.2799753563788254
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.2875276209618551
timing__hold__ws__corner:nom_typ_1p20V_25C,0.30943642968252394
timing__setup__ws__corner:nom_typ_1p20V_25C,4.309274836716719
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.309436
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,4.309275
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2799753563788254
clock__skew__worst_setup,0.28260650175487406
timing__hold__ws,0.12409640333248993
timing__setup__ws,2.0308031386893974
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.124096
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,2.030803
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 313.74
design__core__bbox,2.88 3.78 199.2 309.96
design__io,45
design__die__area,63400.6
design__core__area,60109.3
design__instance__count__stdcell,2781
design__instance__area__stdcell,45476.1
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.756558
design__instance__utilization__stdcell,0.756558
design__rows,81
design__rows:CoreSite,81
design__sites,33129
design__sites:CoreSite,33129
design__instance__count__class:buffer,9
design__instance__area__class:buffer,65.3184
design__instance__count__class:inverter,132
design__instance__area__class:inverter,718.502
design__instance__count__class:sequential_cell,620
design__instance__area__class:sequential_cell,22734.4
design__instance__count__class:multi_input_combinational_cell,1426
design__instance__area__class:multi_input_combinational_cell,14729.3
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,3684.06
design__instance__displacement__mean,1.324
design__instance__displacement__max,41.22
route__wirelength__estimated,108391
design__violations,0
design__instance__count__class:timing_repair_buffer,536
design__instance__area__class:timing_repair_buffer,6021.99
design__instance__count__class:clock_buffer,50
design__instance__area__class:clock_buffer,1163.03
design__instance__count__class:clock_inverter,8
design__instance__area__class:clock_inverter,43.5456
flow__warnings__count:CTS-0041,1
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,235
global_route__vias,20838
global_route__wirelength,177314
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,2792
route__net__special,2
route__drc_errors__iter:0,1372
route__wirelength__iter:0,126470
route__drc_errors__iter:1,832
route__wirelength__iter:1,125921
route__drc_errors__iter:2,671
route__wirelength__iter:2,125747
route__drc_errors__iter:3,41
route__wirelength__iter:3,125414
route__drc_errors__iter:4,12
route__wirelength__iter:4,125405
route__drc_errors__iter:5,12
route__wirelength__iter:5,125413
route__drc_errors__iter:6,0
route__wirelength__iter:6,125407
route__drc_errors,0
route__wirelength,125407
route__vias,20617
route__vias__singlecut,20617
route__vias__multicut,0
flow__warnings__count:DRT-0349,7
design__disconnected_pin__count,6
design__critical_disconnected_pin__count,0
route__wirelength__max,590.015
design__instance__count__class:fill_cell,2259
design__instance__area__class:fill_cell,14633.1
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,16
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,16
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
