Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,1619
design__instance__area,28941.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0002898116363212466
power__switching__total,0.00007889942935435101
power__leakage__total,4.884918780589942E-7
power__total,0.00036919955164194107
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2554891925891723
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.2535610126966219
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.12635265413809554
timing__setup__ws__corner:nom_fast_1p32V_m40C,2.4609364131957117
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.126353
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,8.826592
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,0
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.2578229647196648
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2563459517215063
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6748786165377272
timing__setup__ws__corner:nom_slow_1p08V_125C,2.068685281628617
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.674879
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,7.514689
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,0
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.25889804921596604
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.25467756402406566
timing__hold__ws__corner:nom_typ_1p20V_25C,0.327541669724406
timing__setup__ws__corner:nom_typ_1p20V_25C,2.3147107108436265
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.327542
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,8.338088
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2554891925891723
clock__skew__worst_setup,0.2535610126966219
timing__hold__ws,0.12635265413809554
timing__setup__ws,2.068685281628617
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.126353
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,7.514689
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 154.98
design__core__bbox,2.88 3.78 199.2 151.2
design__io,45
design__die__area,31318.4
design__core__area,28941.5
design__instance__count__stdcell,1031
design__instance__area__stdcell,25615.7
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.885086
design__instance__utilization__stdcell,0.885086
design__rows,39
design__rows:CoreSite,39
design__sites,15951
design__sites:CoreSite,15951
design__instance__count__class:buffer,4
design__instance__area__class:buffer,29.0304
design__instance__count__class:inverter,261
design__instance__area__class:inverter,2841.35
design__instance__count__class:sequential_cell,689
design__instance__area__class:sequential_cell,21674.8
design__instance__count__class:multi_input_combinational_cell,39
design__instance__area__class:multi_input_combinational_cell,520.733
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,1097.39
design__instance__displacement__mean,1.064
design__instance__displacement__max,35.22
route__wirelength__estimated,23681.6
design__violations,0
design__instance__count__class:timing_repair_buffer,29
design__instance__area__class:timing_repair_buffer,382.838
design__instance__count__class:clock_buffer,6
design__instance__area__class:clock_buffer,141.523
design__instance__count__class:clock_inverter,3
design__instance__area__class:clock_inverter,25.4016
flow__warnings__count:CTS-0041,3
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,19
global_route__vias,5734
global_route__wirelength,37144
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1055
route__net__special,2
route__drc_errors__iter:0,88
route__wirelength__iter:0,23005
route__drc_errors__iter:1,7
route__wirelength__iter:1,22910
route__drc_errors__iter:2,6
route__wirelength__iter:2,22913
route__drc_errors__iter:3,0
route__wirelength__iter:3,22916
route__drc_errors,0
route__wirelength,22916
route__vias,4760
route__vias__singlecut,4760
route__vias__multicut,0
flow__warnings__count:DRT-0349,7
design__disconnected_pin__count,10
design__critical_disconnected_pin__count,0
route__wirelength__max,213.525
design__instance__count__class:fill_cell,588
design__instance__area__class:fill_cell,3325.8
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,15
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,15
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,15
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,15
timing__unannotated_net_filtered__count,0
